,obj_that,obj_wh,pp_wh,subj_wh,pairID
148,Alice was remembering that some actresses are scaring Michelle for Christina.,Alice was remembering who some actresses are scaring for Christina.,Alice was remembering who some actresses are scaring Michelle for.,Alice was remembering who are scaring Michelle.,148
149,Kimberley doesn't conceal that these reports shock Lawrence with every guy.,Kimberley doesn't conceal who these reports shock with every guy.,Kimberley doesn't conceal who these reports shock Lawrence with.,Kimberley doesn't conceal who shock Lawrence.,149
150,Wayne didn't realize that some hospitals purchase apples with Jennifer.,Wayne didn't realize what some hospitals purchase with Jennifer.,Wayne didn't realize what some hospitals purchase apples with.,Wayne didn't realize what purchase apples.,150
151,The Clintons discover that the dentist has arrived at most hills with Craig.,The Clintons discover what the dentist has arrived at with Craig.,The Clintons discover what the dentist has arrived at most hills with.,The Clintons discover what has arrived at most hills.,151
152,John realized that a museum stole some bikes with Michelle.,John realized what a museum stole with Michelle.,John realized what a museum stole some bikes with.,John realized what stole some bikes.,152
153,Raymond was investigating that some water upsets Monica with every associate.,Raymond was investigating who some water upsets with every associate.,Raymond was investigating who some water upsets Monica with.,Raymond was investigating who upsets Monica.,153
154,Stephen had revealed that some lawyer wears all coats with all teenagers.,Stephen had revealed what some lawyer wears with all teenagers.,Stephen had revealed what some lawyer wears all coats with.,Stephen had revealed what wears all coats.,154
155,Some legislatures were revealing that the offspring fights the driver with Russell.,Some legislatures were revealing who the offspring fights with Russell.,Some legislatures were revealing who the offspring fights the driver with.,Some legislatures were revealing who fights the driver.,155
156,Matt can remember that some newspaper article is disturbing Ella with Donna.,Matt can remember who some newspaper article is disturbing with Donna.,Matt can remember who some newspaper article is disturbing Ella with.,Matt can remember who is disturbing Ella.,156
157,Anne did realize that that alumnus bent a lot of canoes with Martha.,Anne did realize what that alumnus bent with Martha.,Anne did realize what that alumnus bent a lot of canoes with.,Anne did realize what bent a lot of canoes.,157
158,The Clintons know that the patient won't forget Tara with most adults.,The Clintons know who the patient won't forget with most adults.,The Clintons know who the patient won't forget Tara with.,The Clintons know who won't forget Tara.,158
159,Pedestrians learn that all senators exited the cafes with Adam.,Pedestrians learn what all senators exited with Adam.,Pedestrians learn what all senators exited the cafes with.,Pedestrians learn what exited the cafes.,159
160,Those contractors discover that the adult hasn't repaired the plates with that actor.,Those contractors discover what the adult hasn't repaired with that actor.,Those contractors discover what the adult hasn't repaired the plates with.,Those contractors discover what hasn't repaired the plates.,160
161,Melanie has figured out that a lot of children had gotten the bicycle for Nancy.,Melanie has figured out what a lot of children had gotten for Nancy.,Melanie has figured out what a lot of children had gotten the bicycle for.,Melanie has figured out what had gotten the bicycle.,161
162,Alice forgot that some contractor grows every cucumber for Kathleen.,Alice forgot what some contractor grows for Kathleen.,Alice forgot what some contractor grows every cucumber for.,Alice forgot what grows every cucumber.,162
163,Samuel hadn't revealed that a lady was driving those cars with Noah.,Samuel hadn't revealed what a lady was driving with Noah.,Samuel hadn't revealed what a lady was driving those cars with.,Samuel hadn't revealed what was driving those cars.,163
164,Those girls do find out that a lot of movies overwhelm every senator for every lady.,Those girls do find out who a lot of movies overwhelm for every lady.,Those girls do find out who a lot of movies overwhelm every senator for.,Those girls do find out who overwhelm every senator.,164
165,All customers discover that these students lifted these cups for Melissa.,All customers discover what these students lifted for Melissa.,All customers discover what these students lifted these cups for.,All customers discover what lifted these cups.,165
166,Edward hasn't learned that handymen wouldn't investigate Kirsten for Theresa.,Edward hasn't learned who handymen wouldn't investigate for Theresa.,Edward hasn't learned who handymen wouldn't investigate Kirsten for.,Edward hasn't learned who wouldn't investigate Kirsten.,166
167,A lot of companies know that many teachers climbed up the mountain for many ladies.,A lot of companies know what many teachers climbed up for many ladies.,A lot of companies know what many teachers climbed up the mountain for.,A lot of companies know what climbed up the mountain.,167
168,Florence reveals that these people had shot Jodi for most customers.,Florence reveals who these people had shot for most customers.,Florence reveals who these people had shot Jodi for.,Florence reveals who had shot Jodi.,168
169,Every associate isn't investigating that most partners arrived at some glacier with Amy.,Every associate isn't investigating what most partners arrived at with Amy.,Every associate isn't investigating what most partners arrived at some glacier with.,Every associate isn't investigating what arrived at some glacier.,169
